datetime,symbol,name,open,high,low,close,volume
2026-09-07 09:00:00,005930,삼성전자,267000,267500,266500,266500,481794
2026-09-07 09:01:00,005930,삼성전자,267000,267000,266500,266500,91388
2026-09-07 09:02:00,005930,삼성전자,266500,267500,266500,267000,214893
2026-09-07 09:03:00,005930,삼성전자,266750,267000,266000,266000,77894
2026-09-07 09:04:00,005930,삼성전자,266000,266500,265500,266000,109954
2026-09-07 09:05:00,005930,삼성전자,266250,266500,265500,266000,113002
2026-09-07 09:06:00,005930,삼성전자,266500,266500,266000,266500,65690
2026-09-07 09:07:00,005930,삼성전자,266500,267000,266000,267000,81719
2026-09-07 09:08:00,005930,삼성전자,267000,267000,266500,267000,28588
2026-09-07 09:09:00,005930,삼성전자,267000,267000,266500,267000,32881
2026-09-07 09:10:00,005930,삼성전자,266500,267500,266500,267500,176230
2026-09-07 09:11:00,005930,삼성전자,267500,267500,267000,267500,95228
2026-09-07 09:12:00,005930,삼성전자,267500,267500,267000,267250,47677
2026-09-07 09:13:00,005930,삼성전자,267500,268000,267000,267500,122915
2026-09-07 09:14:00,005930,삼성전자,267500,267500,266500,266500,95846
2026-09-07 09:15:00,005930,삼성전자,267000,267500,266500,267000,89959
2026-09-07 09:16:00,005930,삼성전자,267000,267500,266500,267000,53360
2026-09-07 09:17:00,005930,삼성전자,267000,267000,266500,266500,23909
2026-09-07 09:18:00,005930,삼성전자,266750,267000,266000,266500,114142
2026-09-07 09:19:00,005930,삼성전자,266500,266500,265500,266000,83616
2026-09-07 09:20:00,005930,삼성전자,266250,266500,266000,266000,60439
2026-09-07 09:21:00,005930,삼성전자,266000,266500,265500,265750,70680
2026-09-07 09:22:00,005930,삼성전자,265750,266000,265500,265750,42173
2026-09-07 09:23:00,005930,삼성전자,265500,266000,265500,266000,30970
2026-09-07 09:24:00,005930,삼성전자,266000,266500,265500,265750,116200
2026-09-07 09:25:00,005930,삼성전자,266000,266000,265500,265500,18977
2026-09-07 09:26:00,005930,삼성전자,266000,267000,265500,266500,137483
2026-09-07 09:27:00,005930,삼성전자,266500,267000,266000,266250,35418
2026-09-07 09:28:00,005930,삼성전자,266000,266500,265500,266000,67119
2026-09-07 09:29:00,005930,삼성전자,265500,266000,265500,265750,47711
2026-09-07 09:30:00,005930,삼성전자,266000,266500,265750,266500,50521
2026-09-07 09:31:00,005930,삼성전자,266500,266500,265500,266000,30729
2026-09-07 09:32:00,005930,삼성전자,266000,266250,265500,266000,22729
2026-09-07 09:33:00,005930,삼성전자,266000,266000,265500,266000,25320
2026-09-07 09:34:00,005930,삼성전자,266000,266000,265500,265500,9693
2026-09-07 09:35:00,005930,삼성전자,266000,266000,265500,265750,19630
2026-09-07 09:36:00,005930,삼성전자,265750,266000,265500,265750,22501
2026-09-07 09:37:00,005930,삼성전자,265750,266000,265500,265500,75674
2026-09-07 09:38:00,005930,삼성전자,265500,265750,265000,265000,89219
2026-09-07 09:39:00,005930,삼성전자,265000,265500,264500,265000,72750
2026-09-07 09:40:00,005930,삼성전자,265000,265000,264500,264750,17912
2026-09-07 09:41:00,005930,삼성전자,264750,265500,264500,265500,89256
2026-09-07 09:42:00,005930,삼성전자,265500,265500,265000,265500,35385
2026-09-07 09:43:00,005930,삼성전자,265500,265500,265000,265500,24244
2026-09-07 09:44:00,005930,삼성전자,265500,265500,265000,265000,17462
2026-09-07 09:45:00,005930,삼성전자,265500,266000,265000,265500,66508
2026-09-07 09:46:00,005930,삼성전자,265500,266000,265000,265500,80630
2026-09-07 09:47:00,005930,삼성전자,265500,265500,265000,265250,19767
2026-09-07 09:48:00,005930,삼성전자,265000,265250,264500,264750,63509
2026-09-07 09:49:00,005930,삼성전자,265000,265000,264500,264750,29899
2026-09-07 09:50:00,005930,삼성전자,265000,265000,264500,264500,13095
2026-09-07 09:51:00,005930,삼성전자,264750,264750,264500,264500,13939
2026-09-07 09:52:00,005930,삼성전자,264750,264750,264000,264500,61761
2026-09-07 09:53:00,005930,삼성전자,264500,265000,264000,264750,42085
2026-09-07 09:54:00,005930,삼성전자,264750,265500,264750,265250,58764
2026-09-07 09:55:00,005930,삼성전자,265250,265500,265000,265000,23434
2026-09-07 09:56:00,005930,삼성전자,265250,265500,265000,265250,26754
2026-09-07 09:57:00,005930,삼성전자,265250,265250,264750,264750,42368
2026-09-07 09:58:00,005930,삼성전자,265000,265500,264500,264500,28477
2026-09-07 09:59:00,005930,삼성전자,264750,264750,264500,264750,13859
2026-09-07 10:00:00,005930,삼성전자,264750,265000,264000,264500,61063
2026-09-07 10:01:00,005930,삼성전자,264500,264500,264000,264250,15905
2026-09-07 10:02:00,005930,삼성전자,264250,264500,264000,264250,27249
2026-09-07 10:03:00,005930,삼성전자,264250,264500,264000,264000,11061
2026-09-07 10:04:00,005930,삼성전자,264250,264500,264000,264250,7896
2026-09-07 10:05:00,005930,삼성전자,264500,265000,264000,264250,59314
2026-09-07 10:06:00,005930,삼성전자,264250,264500,264000,264250,7934
2026-09-07 10:07:00,005930,삼성전자,264250,265000,264000,264500,40160
2026-09-07 10:08:00,005930,삼성전자,264500,265000,264500,264750,15107
2026-09-07 10:09:00,005930,삼성전자,264750,265000,264500,265000,8472
2026-09-07 10:10:00,005930,삼성전자,265000,265000,264500,264500,6072
2026-09-07 10:11:00,005930,삼성전자,265000,265000,264500,265000,5723
2026-09-07 10:12:00,005930,삼성전자,265000,265000,264500,264750,18010
2026-09-07 10:13:00,005930,삼성전자,264750,265500,264500,265000,70299
2026-09-07 10:14:00,005930,삼성전자,265500,265500,265000,265000,14609
2026-09-07 10:15:00,005930,삼성전자,265250,265250,265000,265000,16757
2026-09-07 10:16:00,005930,삼성전자,265000,265250,265000,265250,19776
2026-09-07 10:17:00,005930,삼성전자,265000,265500,265000,265250,10286
2026-09-07 10:18:00,005930,삼성전자,265250,265500,265000,265250,48830
2026-09-07 10:19:00,005930,삼성전자,265250,265500,265000,265000,18027
2026-09-07 10:20:00,005930,삼성전자,265000,265250,264500,265000,23028
2026-09-07 10:21:00,005930,삼성전자,265000,265500,264500,264750,42301
2026-09-07 10:22:00,005930,삼성전자,265000,265500,264500,265000,33810
2026-09-07 10:23:00,005930,삼성전자,265000,265000,264500,264750,14370
2026-09-07 10:24:00,005930,삼성전자,265000,265500,264500,265000,37239
2026-09-07 10:25:00,005930,삼성전자,265250,265500,265000,265500,13850
2026-09-07 10:26:00,005930,삼성전자,265000,265500,265000,265500,23628
2026-09-07 10:27:00,005930,삼성전자,265500,266000,265000,265500,48453
2026-09-07 10:28:00,005930,삼성전자,265500,266000,265000,265500,29320
2026-09-07 10:29:00,005930,삼성전자,265500,265750,265500,265750,11849
2026-09-07 10:30:00,005930,삼성전자,265500,265750,264500,265000,104313
2026-09-07 10:31:00,005930,삼성전자,265000,265500,264500,265250,40564
2026-09-07 10:32:00,005930,삼성전자,265000,265250,264500,264750,46090
2026-09-07 10:33:00,005930,삼성전자,264750,265500,264500,265000,24772
2026-09-07 10:34:00,005930,삼성전자,264500,265000,264500,265000,16946
2026-09-07 10:35:00,005930,삼성전자,264750,265500,264500,265000,22941
2026-09-07 10:36:00,005930,삼성전자,265000,265250,265000,265000,16727
2026-09-07 10:37:00,005930,삼성전자,265000,265500,265000,265250,5316
2026-09-07 10:38:00,005930,삼성전자,265500,265500,265000,265500,5848
2026-09-07 10:39:00,005930,삼성전자,265000,265500,265000,265500,4505
2026-09-07 10:40:00,005930,삼성전자,265000,265500,265000,265250,5681
2026-09-07 10:41:00,005930,삼성전자,265000,265500,265000,265500,6595
2026-09-07 10:42:00,005930,삼성전자,265500,265500,265000,265250,5365
2026-09-07 10:43:00,005930,삼성전자,265250,265250,265000,265000,7391
2026-09-07 10:44:00,005930,삼성전자,265250,265250,265000,265250,6518
